index,air_temp,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,snow_soiling_rooftop,HourUTC
105192,8,0,0,0,0,90.1,5.8,0,0,0,0,0,2019-01-01 00:00:00
105193,8,0,0,0,0,88.3,6.0,0,0,0,0,0,2019-01-01 01:00:00
105194,8,0,0,0,0,88.4,6.3,0,0,0,0,0,2019-01-01 02:00:00
105195,8,0,0,0,0,76.5,6.6,0,0,0,0,0,2019-01-01 03:00:00
105196,8,0,0,0,0,53.3,5.8,0,0,0,0,0,2019-01-01 04:00:00
105197,7,0,0,0,0,58.1,3.4,0,0,0,0,0,2019-01-01 05:00:00
105198,7,0,0,0,0,0.7,2.2,0,0,0,0,0,2019-01-01 06:00:00
105199,6,0,0,0,0,0.0,2.0,0,0,0,0,0,2019-01-01 07:00:00
105200,7,26,7,27,29,0.0,1.7,26,7,27,29,0,2019-01-01 08:00:00
105201,7,62,53,70,98,0.0,1.4,62,53,70,98,0,2019-01-01 09:00:00
105202,7,81,171,113,213,0.0,1.0,81,171,113,213,0,2019-01-01 10:00:00
105203,6,81,258,130,283,0.0,0.6,81,258,130,283,0,2019-01-01 11:00:00
105204,6,66,286,114,276,0.0,0.2,66,286,114,276,0,2019-01-01 12:00:00
105205,6,45,111,58,117,0.0,0.0,45,111,58,117,0,2019-01-01 13:00:00
105206,5,9,2,9,10,4.2,-0.1,9,2,9,10,0,2019-01-01 14:00:00
105207,5,0,0,0,0,56.7,-0.2,0,0,0,0,0,2019-01-01 15:00:00
105208,6,0,0,0,0,75.0,-0.0,0,0,0,0,0,2019-01-01 16:00:00
105209,6,0,0,0,0,75.9,0.1,0,0,0,0,0,2019-01-01 17:00:00
105210,6,0,0,0,0,74.9,-0.3,0,0,0,0,0,2019-01-01 18:00:00
105211,6,0,0,0,0,14.9,-0.8,0,0,0,0,0,2019-01-01 19:00:00
105212,6,0,0,0,0,0.0,-1.0,0,0,0,0,0,2019-01-01 20:00:00
105213,6,0,0,0,0,0.0,-1.3,0,0,0,0,0,2019-01-01 21:00:00
105214,6,0,0,0,0,0.0,-2.2,0,0,0,0,0,2019-01-01 22:00:00
105215,6,0,0,0,0,7.1,-3.6,0,0,0,0,0,2019-01-01 23:00:00
105216,5,0,0,0,0,69.6,-4.8,0,0,0,0,0,2019-01-02 00:00:00
105217,5,0,0,0,0,76.3,-5.4,0,0,0,0,0,2019-01-02 01:00:00
105218,4,0,0,0,0,71.4,-6.0,0,0,0,0,0,2019-01-02 02:00:00
105219,4,0,0,0,0,0.5,-6.4,0,0,0,0,0,2019-01-02 03:00:00
105220,3,0,0,0,0,0.0,-6.6,0,0,0,0,0,2019-01-02 04:00:00
105221,3,0,0,0,0,0.0,-6.8,0,0,0,0,0,2019-01-02 05:00:00
105222,3,0,0,0,0,0.0,-7.0,0,0,0,0,0,2019-01-02 06:00:00
105223,2,1,2,1,2,0.0,-7.0,1,2,1,2,0,2019-01-02 07:00:00
105224,2,22,257,46,171,0.0,-7.2,22,257,46,171,0,2019-01-02 08:00:00
105225,3,40,540,117,397,0.0,-7.6,40,540,117,397,0,2019-01-02 09:00:00
105226,3,48,628,164,504,0.0,-8.0,48,628,164,504,0,2019-01-02 10:00:00
105227,3,49,641,174,525,0.0,-8.2,49,641,174,525,0,2019-01-02 11:00:00
105228,3,47,571,143,450,0.0,-7.8,47,571,143,450,0,2019-01-02 12:00:00
105229,3,35,417,82,293,0.0,-7.2,35,417,82,293,0,2019-01-02 13:00:00
105230,3,9,63,14,44,0.0,-6.7,9,63,14,44,0,2019-01-02 14:00:00
105231,2,0,0,0,0,0.0,-6.2,0,0,0,0,0,2019-01-02 15:00:00
105232,2,0,0,0,0,0.0,-5.9,0,0,0,0,0,2019-01-02 16:00:00
105233,2,0,0,0,0,0.0,-5.6,0,0,0,0,0,2019-01-02 17:00:00
105234,2,0,0,0,0,0.0,-5.5,0,0,0,0,0,2019-01-02 18:00:00
105235,2,0,0,0,0,0.0,-5.5,0,0,0,0,0,2019-01-02 19:00:00
105236,1,0,0,0,0,0.0,-5.5,0,0,0,0,0,2019-01-02 20:00:00
105237,1,0,0,0,0,0.0,-5.2,0,0,0,0,0,2019-01-02 21:00:00
105238,0,0,0,0,0,0.0,-4.7,0,0,0,0,0,2019-01-02 22:00:00
105239,1,0,0,0,0,0.0,-4.0,0,0,0,0,0,2019-01-02 23:00:00
105240,1,0,0,0,0,2.4,-3.6,0,0,0,0,0,2019-01-03 00:00:00
105241,1,0,0,0,0,3.3,-3.5,0,0,0,0,0,2019-01-03 01:00:00
105242,1,0,0,0,0,0.0,-3.6,0,0,0,0,0,2019-01-03 02:00:00
105243,1,0,0,0,0,5.5,-3.6,0,0,0,0,0,2019-01-03 03:00:00
105244,1,0,0,0,0,14.0,-3.4,0,0,0,0,0,2019-01-03 04:00:00
105245,1,0,0,0,0,22.7,-3.1,0,0,0,0,0,2019-01-03 05:00:00
105246,1,0,0,0,0,70.2,-2.4,0,0,0,0,0,2019-01-03 06:00:00
105247,1,1,3,1,2,76.8,-1.6,0,0,0,0,0,2019-01-03 07:00:00
105248,2,21,268,45,174,43.1,-1.0,28,3,28,28,0,2019-01-03 08:00:00
105249,3,37,540,114,390,23.8,-0.6,65,149,88,168,0,2019-01-03 09:00:00
105250,4,46,604,158,483,42.7,-0.4,90,2,91,87,0,2019-01-03 10:00:00
105251,4,47,615,167,501,10.2,-0.6,70,410,150,384,0,2019-01-03 11:00:00
105252,4,43,569,140,441,8.9,-1.0,60,399,126,343,0,2019-01-03 12:00:00
105253,3,32,430,81,295,1.8,-1.1,33,407,80,284,0,2019-01-03 13:00:00
